"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/api/paypal-capture/route.ts", "TypeScript", 28, 0, 0, 1, 4, 33
"/Users/nssanjeev/Documents/cosmi/app/api/paypal-checkout/route.ts", "TypeScript", 2, 0, 0, 0, 3, 5
"/Users/nssanjeev/Documents/cosmi/app/globals.css", "PostCSS", 0, 9, 0, 2, -1, 10
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/components/invoice/InvoiceForm.tsx", "TypeScript JSX", 0, 0, 235, 14, 77, 326
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/components/invoice/InvoicePreview.tsx", "TypeScript JSX", 0, 0, 9, 0, 3, 12
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/hooks/useInvoiceEditor.tsx", "TypeScript JSX", 0, 0, 8, 0, -1, 7
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/page.tsx", "TypeScript JSX", 0, 0, 95, 7, 36, 138
"/Users/nssanjeev/Documents/cosmi/app/invoice/[id]/page.tsx", "TypeScript JSX", 0, 0, 95, 6, 31, 132
"/Users/nssanjeev/Documents/cosmi/lib/currency.ts", "TypeScript", 4, 0, 0, 0, 0, 4
"Total", "-", 34, 9, 442, 30, 152, 667
