"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/nssanjeev/Documents/cosmi/app/dashboard/page.tsx", "TypeScript JSX", 21, 0, -1, 9, 29
"/Users/nssanjeev/Documents/cosmi/app/globals.css", "PostCSS", 0, 26, 0, 4, 30
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/components/invoice/InvoiceForm.tsx", "TypeScript JSX", 55, 0, 5, 12, 72
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/hooks/useInvoiceEditor.tsx", "TypeScript JSX", 0, 0, 1, 3, 4
"/Users/nssanjeev/Documents/cosmi/app/invoice-editor/page.tsx", "TypeScript JSX", 10, 0, 0, 3, 13
"/Users/nssanjeev/Documents/cosmi/app/onboarding/page.tsx", "TypeScript JSX", 121, 0, 4, 27, 152
"/Users/nssanjeev/Documents/cosmi/app/page.tsx", "TypeScript JSX", 3, 0, 0, 1, 4
"/Users/nssanjeev/Documents/cosmi/app/providers/AuthProvider.tsx", "TypeScript JSX", 20, 0, 0, 7, 27
"/Users/nssanjeev/Documents/cosmi/app/providers/InvoiceProvider.tsx", "TypeScript JSX", -12, 0, 1, -1, -12
"/Users/nssanjeev/Documents/cosmi/app/signup/company/page.tsx", "TypeScript JSX", -102, 0, -11, -20, -133
"/Users/nssanjeev/Documents/cosmi/app/signup/page.tsx", "TypeScript JSX", 87, 0, 2, 15, 104
"Total", "-", 203, 26, 1, 60, 290
